"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"North Dakota",38,"ND","Adams",38001,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Barnes",38003,2020-01-04,1,1,2020,14
"North Dakota",38,"ND","Benson",38005,2020-01-04,1,1,2020,2
"North Dakota",38,"ND","Billings",38007,2020-01-04,1,1,2020,NA
"North Dakota",38,"ND","Bottineau",38009,2020-01-04,1,1,2020,11
"North Dakota",38,"ND","Bowman",38011,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Burke",38013,2020-01-04,1,1,2020,2
"North Dakota",38,"ND","Burleigh",38015,2020-01-04,1,1,2020,108
"North Dakota",38,"ND","Cass",38017,2020-01-04,1,1,2020,171
"North Dakota",38,"ND","Cavalier",38019,2020-01-04,1,1,2020,4
"North Dakota",38,"ND","Dickey",38021,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Divide",38023,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Dunn",38025,2020-01-04,1,1,2020,NA
"North Dakota",38,"ND","Eddy",38027,2020-01-04,1,1,2020,NA
"North Dakota",38,"ND","Emmons",38029,2020-01-04,1,1,2020,2
"North Dakota",38,"ND","Foster",38031,2020-01-04,1,1,2020,3
"North Dakota",38,"ND","Golden Valley",38033,2020-01-04,1,1,2020,40
"North Dakota",38,"ND","Grand Forks",38035,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Grant",38037,2020-01-04,1,1,2020,NA
"North Dakota",38,"ND","Griggs",38039,2020-01-04,1,1,2020,3
"North Dakota",38,"ND","Hettinger",38041,2020-01-04,1,1,2020,5
"North Dakota",38,"ND","Kidder",38043,2020-01-04,1,1,2020,NA
"North Dakota",38,"ND","LaMoure",38045,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Logan",38047,2020-01-04,1,1,2020,8
"North Dakota",38,"ND","McHenry",38049,2020-01-04,1,1,2020,3
"North Dakota",38,"ND","McIntosh",38051,2020-01-04,1,1,2020,9
"North Dakota",38,"ND","McKenzie",38053,2020-01-04,1,1,2020,18
"North Dakota",38,"ND","McLean",38055,2020-01-04,1,1,2020,16
"North Dakota",38,"ND","Mercer",38057,2020-01-04,1,1,2020,46
"North Dakota",38,"ND","Morton",38059,2020-01-04,1,1,2020,5
"North Dakota",38,"ND","Mountrail",38061,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Nelson",38063,2020-01-04,1,1,2020,4
"North Dakota",38,"ND","Oliver",38065,2020-01-04,1,1,2020,20
"North Dakota",38,"ND","Pembina",38067,2020-01-04,1,1,2020,2
"North Dakota",38,"ND","Pierce",38069,2020-01-04,1,1,2020,8
"North Dakota",38,"ND","Ramsey",38071,2020-01-04,1,1,2020,6
"North Dakota",38,"ND","Ransom",38073,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Renville",38075,2020-01-04,1,1,2020,14
"North Dakota",38,"ND","Richland",38077,2020-01-04,1,1,2020,14
"North Dakota",38,"ND","Rolette",38079,2020-01-04,1,1,2020,2
"North Dakota",38,"ND","Sargent",38081,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Sheridan",38083,2020-01-04,1,1,2020,NA
"North Dakota",38,"ND","Sioux",38085,2020-01-04,1,1,2020,1
"North Dakota",38,"ND","Slope",38087,2020-01-04,1,1,2020,35
"North Dakota",38,"ND","Stark",38089,2020-01-04,1,1,2020,NA
"North Dakota",38,"ND","Steele",38091,2020-01-04,1,1,2020,21
"North Dakota",38,"ND","Stutsman",38093,2020-01-04,1,1,2020,NA
"North Dakota",38,"ND","Towner",38095,2020-01-04,1,1,2020,10
"North Dakota",38,"ND","Traill",38097,2020-01-04,1,1,2020,13
"North Dakota",38,"ND","Walsh",38099,2020-01-04,1,1,2020,67
"North Dakota",38,"ND","Ward",38101,2020-01-04,1,1,2020,3
"North Dakota",38,"ND","Wells",38103,2020-01-04,1,1,2020,26
"North Dakota",38,"ND","Williams",38105,2020-01-04,1,1,2020,NA
"North Dakota",38,"ND","Adams",38001,2020-01-11,2,1,2020,3
"North Dakota",38,"ND","Barnes",38003,2020-01-11,2,1,2020,9
"North Dakota",38,"ND","Benson",38005,2020-01-11,2,1,2020,16
"North Dakota",38,"ND","Billings",38007,2020-01-11,2,1,2020,2
"North Dakota",38,"ND","Bottineau",38009,2020-01-11,2,1,2020,14
"North Dakota",38,"ND","Bowman",38011,2020-01-11,2,1,2020,1
"North Dakota",38,"ND","Burke",38013,2020-01-11,2,1,2020,NA
"North Dakota",38,"ND","Burleigh",38015,2020-01-11,2,1,2020,123
"North Dakota",38,"ND","Cass",38017,2020-01-11,2,1,2020,378
"North Dakota",38,"ND","Cavalier",38019,2020-01-11,2,1,2020,7
"North Dakota",38,"ND","Dickey",38021,2020-01-11,2,1,2020,NA
"North Dakota",38,"ND","Divide",38023,2020-01-11,2,1,2020,NA
"North Dakota",38,"ND","Dunn",38025,2020-01-11,2,1,2020,6
"North Dakota",38,"ND","Eddy",38027,2020-01-11,2,1,2020,5
"North Dakota",38,"ND","Emmons",38029,2020-01-11,2,1,2020,14
"North Dakota",38,"ND","Foster",38031,2020-01-11,2,1,2020,5
"North Dakota",38,"ND","Golden Valley",38033,2020-01-11,2,1,2020,1
"North Dakota",38,"ND","Grand Forks",38035,2020-01-11,2,1,2020,80
"North Dakota",38,"ND","Grant",38037,2020-01-11,2,1,2020,1
"North Dakota",38,"ND","Griggs",38039,2020-01-11,2,1,2020,3
"North Dakota",38,"ND","Hettinger",38041,2020-01-11,2,1,2020,4
"North Dakota",38,"ND","Kidder",38043,2020-01-11,2,1,2020,4
"North Dakota",38,"ND","LaMoure",38045,2020-01-11,2,1,2020,4
"North Dakota",38,"ND","Logan",38047,2020-01-11,2,1,2020,1
"North Dakota",38,"ND","McHenry",38049,2020-01-11,2,1,2020,23
"North Dakota",38,"ND","McIntosh",38051,2020-01-11,2,1,2020,1
"North Dakota",38,"ND","McKenzie",38053,2020-01-11,2,1,2020,17
"North Dakota",38,"ND","McLean",38055,2020-01-11,2,1,2020,16
"North Dakota",38,"ND","Mercer",38057,2020-01-11,2,1,2020,12
"North Dakota",38,"ND","Morton",38059,2020-01-11,2,1,2020,77
"North Dakota",38,"ND","Mountrail",38061,2020-01-11,2,1,2020,8
"North Dakota",38,"ND","Nelson",38063,2020-01-11,2,1,2020,6
"North Dakota",38,"ND","Oliver",38065,2020-01-11,2,1,2020,1
"North Dakota",38,"ND","Pembina",38067,2020-01-11,2,1,2020,25
"North Dakota",38,"ND","Pierce",38069,2020-01-11,2,1,2020,11
"North Dakota",38,"ND","Ramsey",38071,2020-01-11,2,1,2020,19
"North Dakota",38,"ND","Ransom",38073,2020-01-11,2,1,2020,7
"North Dakota",38,"ND","Renville",38075,2020-01-11,2,1,2020,4
"North Dakota",38,"ND","Richland",38077,2020-01-11,2,1,2020,24
"North Dakota",38,"ND","Rolette",38079,2020-01-11,2,1,2020,38
"North Dakota",38,"ND","Sargent",38081,2020-01-11,2,1,2020,7
"North Dakota",38,"ND","Sheridan",38083,2020-01-11,2,1,2020,4
"North Dakota",38,"ND","Sioux",38085,2020-01-11,2,1,2020,NA
"North Dakota",38,"ND","Slope",38087,2020-01-11,2,1,2020,NA
"North Dakota",38,"ND","Stark",38089,2020-01-11,2,1,2020,57
"North Dakota",38,"ND","Steele",38091,2020-01-11,2,1,2020,1
"North Dakota",38,"ND","Stutsman",38093,2020-01-11,2,1,2020,29
"North Dakota",38,"ND","Towner",38095,2020-01-11,2,1,2020,3
"North Dakota",38,"ND","Traill",38097,2020-01-11,2,1,2020,25
"North Dakota",38,"ND","Walsh",38099,2020-01-11,2,1,2020,16
"North Dakota",38,"ND","Ward",38101,2020-01-11,2,1,2020,89
"North Dakota",38,"ND","Wells",38103,2020-01-11,2,1,2020,15
"North Dakota",38,"ND","Williams",38105,2020-01-11,2,1,2020,42
"North Dakota",38,"ND","Adams",38001,2020-01-18,3,1,2020,1
"North Dakota",38,"ND","Barnes",38003,2020-01-18,3,1,2020,9
"North Dakota",38,"ND","Benson",38005,2020-01-18,3,1,2020,2
"North Dakota",38,"ND","Billings",38007,2020-01-18,3,1,2020,8
"North Dakota",38,"ND","Bottineau",38009,2020-01-18,3,1,2020,NA
"North Dakota",38,"ND","Bowman",38011,2020-01-18,3,1,2020,2
"North Dakota",38,"ND","Burke",38013,2020-01-18,3,1,2020,115
"North Dakota",38,"ND","Burleigh",38015,2020-01-18,3,1,2020,146
"North Dakota",38,"ND","Cass",38017,2020-01-18,3,1,2020,1
"North Dakota",38,"ND","Cavalier",38019,2020-01-18,3,1,2020,1
"North Dakota",38,"ND","Dickey",38021,2020-01-18,3,1,2020,NA
"North Dakota",38,"ND","Divide",38023,2020-01-18,3,1,2020,1
"North Dakota",38,"ND","Dunn",38025,2020-01-18,3,1,2020,7
"North Dakota",38,"ND","Eddy",38027,2020-01-18,3,1,2020,4
"North Dakota",38,"ND","Emmons",38029,2020-01-18,3,1,2020,1
"North Dakota",38,"ND","Foster",38031,2020-01-18,3,1,2020,1
"North Dakota",38,"ND","Golden Valley",38033,2020-01-18,3,1,2020,39
"North Dakota",38,"ND","Grand Forks",38035,2020-01-18,3,1,2020,1
"North Dakota",38,"ND","Grant",38037,2020-01-18,3,1,2020,NA
"North Dakota",38,"ND","Griggs",38039,2020-01-18,3,1,2020,3
"North Dakota",38,"ND","Hettinger",38041,2020-01-18,3,1,2020,2
"North Dakota",38,"ND","Kidder",38043,2020-01-18,3,1,2020,5
"North Dakota",38,"ND","LaMoure",38045,2020-01-18,3,1,2020,2
"North Dakota",38,"ND","Logan",38047,2020-01-18,3,1,2020,10
"North Dakota",38,"ND","McHenry",38049,2020-01-18,3,1,2020,2
"North Dakota",38,"ND","McIntosh",38051,2020-01-18,3,1,2020,12
"North Dakota",38,"ND","McKenzie",38053,2020-01-18,3,1,2020,10
"North Dakota",38,"ND","McLean",38055,2020-01-18,3,1,2020,10
"North Dakota",38,"ND","Mercer",38057,2020-01-18,3,1,2020,45
"North Dakota",38,"ND","Morton",38059,2020-01-18,3,1,2020,3
"North Dakota",38,"ND","Mountrail",38061,2020-01-18,3,1,2020,4
"North Dakota",38,"ND","Nelson",38063,2020-01-18,3,1,2020,5
"North Dakota",38,"ND","Oliver",38065,2020-01-18,3,1,2020,11
"North Dakota",38,"ND","Pembina",38067,2020-01-18,3,1,2020,2
"North Dakota",38,"ND","Pierce",38069,2020-01-18,3,1,2020,8
"North Dakota",38,"ND","Ramsey",38071,2020-01-18,3,1,2020,2
"North Dakota",38,"ND","Ransom",38073,2020-01-18,3,1,2020,1
"North Dakota",38,"ND","Renville",38075,2020-01-18,3,1,2020,10
"North Dakota",38,"ND","Richland",38077,2020-01-18,3,1,2020,18
"North Dakota",38,"ND","Rolette",38079,2020-01-18,3,1,2020,NA
"North Dakota",38,"ND","Sargent",38081,2020-01-18,3,1,2020,3
"North Dakota",38,"ND","Sheridan",38083,2020-01-18,3,1,2020,NA
"North Dakota",38,"ND","Sioux",38085,2020-01-18,3,1,2020,NA
"North Dakota",38,"ND","Slope",38087,2020-01-18,3,1,2020,39
"North Dakota",38,"ND","Stark",38089,2020-01-18,3,1,2020,NA
"North Dakota",38,"ND","Steele",38091,2020-01-18,3,1,2020,7
"North Dakota",38,"ND","Stutsman",38093,2020-01-18,3,1,2020,1
"North Dakota",38,"ND","Towner",38095,2020-01-18,3,1,2020,6
"North Dakota",38,"ND","Traill",38097,2020-01-18,3,1,2020,9
"North Dakota",38,"ND","Walsh",38099,2020-01-18,3,1,2020,71
"North Dakota",38,"ND","Ward",38101,2020-01-18,3,1,2020,6
"North Dakota",38,"ND","Wells",38103,2020-01-18,3,1,2020,40
"North Dakota",38,"ND","Williams",38105,2020-01-18,3,1,2020,NA
"North Dakota",38,"ND","Adams",38001,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Barnes",38003,2020-01-25,4,1,2020,3
"North Dakota",38,"ND","Benson",38005,2020-01-25,4,1,2020,2
"North Dakota",38,"ND","Billings",38007,2020-01-25,4,1,2020,NA
"North Dakota",38,"ND","Bottineau",38009,2020-01-25,4,1,2020,6
"North Dakota",38,"ND","Bowman",38011,2020-01-25,4,1,2020,3
"North Dakota",38,"ND","Burke",38013,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Burleigh",38015,2020-01-25,4,1,2020,69
"North Dakota",38,"ND","Cass",38017,2020-01-25,4,1,2020,123
"North Dakota",38,"ND","Cavalier",38019,2020-01-25,4,1,2020,5
"North Dakota",38,"ND","Dickey",38021,2020-01-25,4,1,2020,NA
"North Dakota",38,"ND","Divide",38023,2020-01-25,4,1,2020,NA
"North Dakota",38,"ND","Dunn",38025,2020-01-25,4,1,2020,NA
"North Dakota",38,"ND","Eddy",38027,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Emmons",38029,2020-01-25,4,1,2020,2
"North Dakota",38,"ND","Foster",38031,2020-01-25,4,1,2020,2
"North Dakota",38,"ND","Golden Valley",38033,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Grand Forks",38035,2020-01-25,4,1,2020,43
"North Dakota",38,"ND","Grant",38037,2020-01-25,4,1,2020,NA
"North Dakota",38,"ND","Griggs",38039,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Hettinger",38041,2020-01-25,4,1,2020,2
"North Dakota",38,"ND","Kidder",38043,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","LaMoure",38045,2020-01-25,4,1,2020,NA
"North Dakota",38,"ND","Logan",38047,2020-01-25,4,1,2020,3
"North Dakota",38,"ND","McHenry",38049,2020-01-25,4,1,2020,9
"North Dakota",38,"ND","McIntosh",38051,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","McKenzie",38053,2020-01-25,4,1,2020,6
"North Dakota",38,"ND","McLean",38055,2020-01-25,4,1,2020,12
"North Dakota",38,"ND","Mercer",38057,2020-01-25,4,1,2020,6
"North Dakota",38,"ND","Morton",38059,2020-01-25,4,1,2020,21
"North Dakota",38,"ND","Mountrail",38061,2020-01-25,4,1,2020,6
"North Dakota",38,"ND","Nelson",38063,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Oliver",38065,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Pembina",38067,2020-01-25,4,1,2020,3
"North Dakota",38,"ND","Pierce",38069,2020-01-25,4,1,2020,3
"North Dakota",38,"ND","Ramsey",38071,2020-01-25,4,1,2020,8
"North Dakota",38,"ND","Ransom",38073,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Renville",38075,2020-01-25,4,1,2020,4
"North Dakota",38,"ND","Richland",38077,2020-01-25,4,1,2020,8
"North Dakota",38,"ND","Rolette",38079,2020-01-25,4,1,2020,12
"North Dakota",38,"ND","Sargent",38081,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Sheridan",38083,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Sioux",38085,2020-01-25,4,1,2020,2
"North Dakota",38,"ND","Slope",38087,2020-01-25,4,1,2020,NA
"North Dakota",38,"ND","Stark",38089,2020-01-25,4,1,2020,21
"North Dakota",38,"ND","Steele",38091,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Stutsman",38093,2020-01-25,4,1,2020,5
"North Dakota",38,"ND","Towner",38095,2020-01-25,4,1,2020,NA
"North Dakota",38,"ND","Traill",38097,2020-01-25,4,1,2020,5
"North Dakota",38,"ND","Walsh",38099,2020-01-25,4,1,2020,2
"North Dakota",38,"ND","Ward",38101,2020-01-25,4,1,2020,56
"North Dakota",38,"ND","Wells",38103,2020-01-25,4,1,2020,1
"North Dakota",38,"ND","Williams",38105,2020-01-25,4,1,2020,21
"North Dakota",38,"ND","Adams",38001,2020-02-01,5,2,2020,2
"North Dakota",38,"ND","Barnes",38003,2020-02-01,5,2,2020,5
"North Dakota",38,"ND","Benson",38005,2020-02-01,5,2,2020,3
"North Dakota",38,"ND","Billings",38007,2020-02-01,5,2,2020,7
"North Dakota",38,"ND","Bottineau",38009,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Bowman",38011,2020-02-01,5,2,2020,1
"North Dakota",38,"ND","Burke",38013,2020-02-01,5,2,2020,60
"North Dakota",38,"ND","Burleigh",38015,2020-02-01,5,2,2020,72
"North Dakota",38,"ND","Cass",38017,2020-02-01,5,2,2020,2
"North Dakota",38,"ND","Cavalier",38019,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Dickey",38021,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Divide",38023,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Dunn",38025,2020-02-01,5,2,2020,1
"North Dakota",38,"ND","Eddy",38027,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Emmons",38029,2020-02-01,5,2,2020,3
"North Dakota",38,"ND","Foster",38031,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Golden Valley",38033,2020-02-01,5,2,2020,28
"North Dakota",38,"ND","Grand Forks",38035,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Grant",38037,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Griggs",38039,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Hettinger",38041,2020-02-01,5,2,2020,2
"North Dakota",38,"ND","Kidder",38043,2020-02-01,5,2,2020,3
"North Dakota",38,"ND","LaMoure",38045,2020-02-01,5,2,2020,1
"North Dakota",38,"ND","Logan",38047,2020-02-01,5,2,2020,4
"North Dakota",38,"ND","McHenry",38049,2020-02-01,5,2,2020,1
"North Dakota",38,"ND","McIntosh",38051,2020-02-01,5,2,2020,9
"North Dakota",38,"ND","McKenzie",38053,2020-02-01,5,2,2020,5
"North Dakota",38,"ND","McLean",38055,2020-02-01,5,2,2020,9
"North Dakota",38,"ND","Mercer",38057,2020-02-01,5,2,2020,22
"North Dakota",38,"ND","Morton",38059,2020-02-01,5,2,2020,2
"North Dakota",38,"ND","Mountrail",38061,2020-02-01,5,2,2020,2
"North Dakota",38,"ND","Nelson",38063,2020-02-01,5,2,2020,1
"North Dakota",38,"ND","Oliver",38065,2020-02-01,5,2,2020,3
"North Dakota",38,"ND","Pembina",38067,2020-02-01,5,2,2020,4
"North Dakota",38,"ND","Pierce",38069,2020-02-01,5,2,2020,7
"North Dakota",38,"ND","Ramsey",38071,2020-02-01,5,2,2020,1
"North Dakota",38,"ND","Ransom",38073,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Renville",38075,2020-02-01,5,2,2020,7
"North Dakota",38,"ND","Richland",38077,2020-02-01,5,2,2020,9
"North Dakota",38,"ND","Rolette",38079,2020-02-01,5,2,2020,2
"North Dakota",38,"ND","Sargent",38081,2020-02-01,5,2,2020,2
"North Dakota",38,"ND","Sheridan",38083,2020-02-01,5,2,2020,1
"North Dakota",38,"ND","Sioux",38085,2020-02-01,5,2,2020,27
"North Dakota",38,"ND","Slope",38087,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Stark",38089,2020-02-01,5,2,2020,5
"North Dakota",38,"ND","Steele",38091,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Stutsman",38093,2020-02-01,5,2,2020,2
"North Dakota",38,"ND","Towner",38095,2020-02-01,5,2,2020,6
"North Dakota",38,"ND","Traill",38097,2020-02-01,5,2,2020,34
"North Dakota",38,"ND","Walsh",38099,2020-02-01,5,2,2020,3
"North Dakota",38,"ND","Ward",38101,2020-02-01,5,2,2020,37
"North Dakota",38,"ND","Wells",38103,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Williams",38105,2020-02-01,5,2,2020,NA
"North Dakota",38,"ND","Adams",38001,2020-02-08,6,2,2020,1
"North Dakota",38,"ND","Barnes",38003,2020-02-08,6,2,2020,3
"North Dakota",38,"ND","Benson",38005,2020-02-08,6,2,2020,4
"North Dakota",38,"ND","Billings",38007,2020-02-08,6,2,2020,3
"North Dakota",38,"ND","Bottineau",38009,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Bowman",38011,2020-02-08,6,2,2020,2
"North Dakota",38,"ND","Burke",38013,2020-02-08,6,2,2020,67
"North Dakota",38,"ND","Burleigh",38015,2020-02-08,6,2,2020,74
"North Dakota",38,"ND","Cass",38017,2020-02-08,6,2,2020,3
"North Dakota",38,"ND","Cavalier",38019,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Dickey",38021,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Divide",38023,2020-02-08,6,2,2020,3
"North Dakota",38,"ND","Dunn",38025,2020-02-08,6,2,2020,1
"North Dakota",38,"ND","Eddy",38027,2020-02-08,6,2,2020,4
"North Dakota",38,"ND","Emmons",38029,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Foster",38031,2020-02-08,6,2,2020,1
"North Dakota",38,"ND","Golden Valley",38033,2020-02-08,6,2,2020,36
"North Dakota",38,"ND","Grand Forks",38035,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Grant",38037,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Griggs",38039,2020-02-08,6,2,2020,2
"North Dakota",38,"ND","Hettinger",38041,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Kidder",38043,2020-02-08,6,2,2020,1
"North Dakota",38,"ND","LaMoure",38045,2020-02-08,6,2,2020,4
"North Dakota",38,"ND","Logan",38047,2020-02-08,6,2,2020,7
"North Dakota",38,"ND","McHenry",38049,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","McIntosh",38051,2020-02-08,6,2,2020,19
"North Dakota",38,"ND","McKenzie",38053,2020-02-08,6,2,2020,5
"North Dakota",38,"ND","McLean",38055,2020-02-08,6,2,2020,7
"North Dakota",38,"ND","Mercer",38057,2020-02-08,6,2,2020,31
"North Dakota",38,"ND","Morton",38059,2020-02-08,6,2,2020,1
"North Dakota",38,"ND","Mountrail",38061,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Nelson",38063,2020-02-08,6,2,2020,5
"North Dakota",38,"ND","Oliver",38065,2020-02-08,6,2,2020,4
"North Dakota",38,"ND","Pembina",38067,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Pierce",38069,2020-02-08,6,2,2020,2
"North Dakota",38,"ND","Ramsey",38071,2020-02-08,6,2,2020,1
"North Dakota",38,"ND","Ransom",38073,2020-02-08,6,2,2020,2
"North Dakota",38,"ND","Renville",38075,2020-02-08,6,2,2020,2
"North Dakota",38,"ND","Richland",38077,2020-02-08,6,2,2020,8
"North Dakota",38,"ND","Rolette",38079,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Sargent",38081,2020-02-08,6,2,2020,2
"North Dakota",38,"ND","Sheridan",38083,2020-02-08,6,2,2020,1
"North Dakota",38,"ND","Sioux",38085,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Slope",38087,2020-02-08,6,2,2020,30
"North Dakota",38,"ND","Stark",38089,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Steele",38091,2020-02-08,6,2,2020,9
"North Dakota",38,"ND","Stutsman",38093,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Towner",38095,2020-02-08,6,2,2020,3
"North Dakota",38,"ND","Traill",38097,2020-02-08,6,2,2020,5
"North Dakota",38,"ND","Walsh",38099,2020-02-08,6,2,2020,49
"North Dakota",38,"ND","Ward",38101,2020-02-08,6,2,2020,4
"North Dakota",38,"ND","Wells",38103,2020-02-08,6,2,2020,25
"North Dakota",38,"ND","Williams",38105,2020-02-08,6,2,2020,NA
"North Dakota",38,"ND","Adams",38001,2020-02-15,7,2,2020,1
"North Dakota",38,"ND","Barnes",38003,2020-02-15,7,2,2020,11
"North Dakota",38,"ND","Benson",38005,2020-02-15,7,2,2020,3
"North Dakota",38,"ND","Billings",38007,2020-02-15,7,2,2020,1
"North Dakota",38,"ND","Bottineau",38009,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Bowman",38011,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Burke",38013,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Burleigh",38015,2020-02-15,7,2,2020,66
"North Dakota",38,"ND","Cass",38017,2020-02-15,7,2,2020,61
"North Dakota",38,"ND","Cavalier",38019,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Dickey",38021,2020-02-15,7,2,2020,1
"North Dakota",38,"ND","Divide",38023,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Dunn",38025,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Eddy",38027,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Emmons",38029,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Foster",38031,2020-02-15,7,2,2020,3
"North Dakota",38,"ND","Golden Valley",38033,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Grand Forks",38035,2020-02-15,7,2,2020,29
"North Dakota",38,"ND","Grant",38037,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Griggs",38039,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Hettinger",38041,2020-02-15,7,2,2020,1
"North Dakota",38,"ND","Kidder",38043,2020-02-15,7,2,2020,4
"North Dakota",38,"ND","LaMoure",38045,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Logan",38047,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","McHenry",38049,2020-02-15,7,2,2020,4
"North Dakota",38,"ND","McIntosh",38051,2020-02-15,7,2,2020,1
"North Dakota",38,"ND","McKenzie",38053,2020-02-15,7,2,2020,16
"North Dakota",38,"ND","McLean",38055,2020-02-15,7,2,2020,8
"North Dakota",38,"ND","Mercer",38057,2020-02-15,7,2,2020,4
"North Dakota",38,"ND","Morton",38059,2020-02-15,7,2,2020,22
"North Dakota",38,"ND","Mountrail",38061,2020-02-15,7,2,2020,7
"North Dakota",38,"ND","Nelson",38063,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Oliver",38065,2020-02-15,7,2,2020,1
"North Dakota",38,"ND","Pembina",38067,2020-02-15,7,2,2020,3
"North Dakota",38,"ND","Pierce",38069,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Ramsey",38071,2020-02-15,7,2,2020,4
"North Dakota",38,"ND","Ransom",38073,2020-02-15,7,2,2020,1
"North Dakota",38,"ND","Renville",38075,2020-02-15,7,2,2020,1
"North Dakota",38,"ND","Richland",38077,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Rolette",38079,2020-02-15,7,2,2020,3
"North Dakota",38,"ND","Sargent",38081,2020-02-15,7,2,2020,2
"North Dakota",38,"ND","Sheridan",38083,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Sioux",38085,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Slope",38087,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Stark",38089,2020-02-15,7,2,2020,22
"North Dakota",38,"ND","Steele",38091,2020-02-15,7,2,2020,1
"North Dakota",38,"ND","Stutsman",38093,2020-02-15,7,2,2020,9
"North Dakota",38,"ND","Towner",38095,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Traill",38097,2020-02-15,7,2,2020,4
"North Dakota",38,"ND","Walsh",38099,2020-02-15,7,2,2020,7
"North Dakota",38,"ND","Ward",38101,2020-02-15,7,2,2020,39
"North Dakota",38,"ND","Wells",38103,2020-02-15,7,2,2020,NA
"North Dakota",38,"ND","Williams",38105,2020-02-15,7,2,2020,40
"North Dakota",38,"ND","Adams",38001,2020-02-22,8,2,2020,2
"North Dakota",38,"ND","Barnes",38003,2020-02-22,8,2,2020,1
"North Dakota",38,"ND","Benson",38005,2020-02-22,8,2,2020,3
"North Dakota",38,"ND","Billings",38007,2020-02-22,8,2,2020,NA
"North Dakota",38,"ND","Bottineau",38009,2020-02-22,8,2,2020,5
